Semantic_Similarity,Emotional_Alignment,Time_Closeness,Target_Intensity,Linked,Pair_Type,Category
0.8037117204867632,0.7811459017503304,0.2942998296638024,0.9,1,positive,affective
0.7883219155009846,0.7391048322197111,0.2836293149259645,0.2,0,temporal_neg,affective
0.7812808232018211,0.7650367846352556,0.1875914505876009,0.3,0,semantic_neg,affective
0.8088477718414409,0.7850443590256218,0.20709759078963702,0.9,1,positive,affective
0.7683321141650102,0.7242846525066136,0.20573042720902865,0.25,0,temporal_neg,affective
0.7875549550814922,0.7307126273131419,0.1725390164004001,0.3,0,semantic_neg,affective
0.805105258713473,0.7689016117464174,0.22553064631951622,0.85,1,positive,affective
0.7234703623442624,0.7283633999460031,0.22721089587269092,0.15,0,temporal_neg,affective
0.7939809257373566,0.7646531774361711,0.18145989728416287,0.4,0,semantic_neg,affective
0.86019443381504,0.7862268571968203,0.1448722468222481,0.8,1,positive,affective
0.831836947728408,0.7904962132413293,0.1448150034717916,0.3,0,temporal_neg,affective
0.8223288817533811,0.7880235816674137,0.16618804960370956,0.25,0,semantic_neg,affective
0.7867636798307112,0.749805229620343,0.11626011214232955,0.92,1,positive,affective
0.7347115918721667,0.815780042353695,0.11625335939245143,0.1,0,temporal_neg,affective
0.7625910887401368,0.7597634996120415,0.19566125609358018,0.35,0,semantic_neg,affective
0.8953891796547422,0.871260849790522,0.28050889359956055,0.9,1,positive,affective
0.7572425644382235,0.8408285153012515,0.2747964402379244,0.4,0,temporal_neg,affective
0.831291685170313,0.8558000448590999,0.14403412024011578,0.6,0,semantic_neg,affective
0.8318444895496941,0.8680444013152844,0.21817298312218497,0.8,1,positive,affective
0.7293497887761698,0.8582843152038999,0.21687655667383804,0.3,0,temporal_neg,affective
0.8255977081243469,0.8415603849238195,0.1429804854364357,0.7,0,semantic_neg,affective
0.8637244313115695,0.8220919421027807,0.18219461677487714,0.9,1,positive,affective
0.7331784862696807,0.8214734956314318,0.18257047792947603,0.2,0,temporal_neg,affective
0.7600852659119004,0.8381674423246035,0.1725390164004001,0.5,0,semantic_neg,affective
0.8659413730577987,0.8063299450897816,0.20276467062514594,0.9,1,positive,affective
0.7150061177164093,0.7747688164903019,0.2035821084092901,0.1,0,temporal_neg,affective
0.8432246357758513,0.829486546942506,0.1780905676023748,0.6,0,semantic_neg,affective
0.8344336389255143,0.8234660654752097,0.19269104588054464,0.9,1,positive,affective
0.772676089295705,0.827394610249855,0.19213430516037205,0.2,0,temporal_neg,affective
0.8227954788444118,0.8608622349869491,0.17020704922556396,0.5,0,semantic_neg,affective
0.8167462843229901,0.7990598378212246,0.3247342047137871,0.95,1,positive,affective
0.7473526978008631,0.7967393160558884,0.31846462715504104,0.4,0,temporal_neg,affective
0.8065884391280506,0.7686101637173319,0.1725390164004001,0.3,0,semantic_neg,affective
0.7534333371151979,0.8215106541683005,0.20709759078963702,0.9,1,positive,affective
0.7538761493626318,0.7468111934543763,0.20756739554833795,0.5,0,temporal_neg,affective
